,Optim,Data,Norm,Epsilon,Target,SuccesRate,MeanTime,MeanEpsilon,NGradient,BatchSize,Alpha,GaussianSmoothing,Nexample,Epochs
0,classic,cifar10,-1,0.01,1,0.1111111111111111,6.773053750726912,0.009521974250674248,500,-1,0.2,0.001,20,100
1,classic,cifar10,-1,0.01,1,0.18333333333333332,12.784816114107768,0.009430769830942154,1000,-1,0.2,0.001,20,100
2,classic,cifar10,-1,0.01,1,0.2722222222222222,22.926947037378948,0.009303516708314419,2000,-1,0.2,0.001,20,100
3,classic,cifar10,-1,0.01,1,0.42777777777777776,30.955471675925786,0.009130720049142838,4000,-1,0.2,0.001,20,100
4,classic,cifar10,-1,0.01,1,0.5277777777777778,44.4666802710957,0.008931206539273262,8000,4000,0.2,0.001,20,100
5,classic,cifar10,-1,0.015,1,0.2611111111111111,5.126995158195496,0.01393349189311266,500,-1,0.2,0.001,20,100
6,classic,cifar10,-1,0.015,1,0.45555555555555555,7.462877668274773,0.01357601210474968,1000,-1,0.2,0.001,20,100
7,classic,cifar10,-1,0.015,1,0.6166666666666667,11.001791424221462,0.013095622882246971,2000,-1,0.2,0.001,20,100
8,classic,cifar10,-1,0.015,1,0.7333333333333333,17.097870042588976,0.012555473484098911,4000,-1,0.2,0.001,20,100
9,classic,cifar10,-1,0.015,1,0.7944444444444444,25.419425366984473,0.01217062771320343,8000,4000,0.2,0.001,20,100
10,classic,cifar10,-1,0.02,1,0.4888888888888889,4.527152215109931,0.017915675416588783,500,-1,0.2,0.001,20,100
11,classic,cifar10,-1,0.02,1,0.6666666666666666,6.401700570848253,0.01706424541771412,1000,-1,0.2,0.001,20,100
12,classic,cifar10,-1,0.02,1,0.7777777777777778,9.864015622933705,0.01627672277390957,2000,-1,0.2,0.001,20,100
13,classic,cifar10,-1,0.02,1,0.9444444444444444,19.394981276988982,0.015103994868695736,8000,4000,0.2,0.001,20,100
